# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.666666e+00
# lRef       : 9.000000e-02
# Aref       : 1.600000e-01
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
0.00027      	3.800809e+03	3.787550e+02	-3.499229e-02	3.800791e+03	-3.800826e+03
0.00054      	-1.844534e+03	-1.838093e+02	3.041403e-02	-1.844519e+03	1.844550e+03
0.00081      	2.307281e+01	2.298965e+00	1.538625e-02	2.308050e+01	-2.306511e+01
0.00108      	-1.907622e+00	-1.901199e-01	-1.410506e-02	-1.914675e+00	1.900570e+00
0.00135      	1.629901e+00	1.624879e-01	1.182769e-02	1.635815e+00	-1.623987e+00
0.00162      	4.081048e+00	4.065434e-01	3.726361e-03	4.082912e+00	-4.079185e+00
0.00189      	4.195004e+00	4.180175e-01	-4.797785e-05	4.194980e+00	-4.195028e+00
0.00216      	3.851240e+00	3.837510e-01	-3.039125e-03	3.849721e+00	-3.852760e+00
0.00243      	3.550772e+00	3.538274e-01	4.577182e-03	3.553060e+00	-3.548483e+00
0.0027       	3.575750e+00	3.563187e-01	4.831929e-04	3.575991e+00	-3.575508e+00
0.00297      	4.006787e+00	3.992744e-01	-4.172915e-03	4.004700e+00	-4.008873e+00
0.00324      	3.303774e+00	3.291822e-01	-3.164359e-03	3.302192e+00	-3.305356e+00
0.00351      	3.302225e+00	3.290525e-01	8.269441e-03	3.306360e+00	-3.298091e+00
0.00378      	3.514655e+00	3.502875e-01	-2.713059e-03	3.513299e+00	-3.516012e+00
0.00405      	2.557173e+00	2.548103e-01	-6.488366e-03	2.553928e+00	-2.560417e+00
0.00432      	3.208230e+00	3.196944e-01	1.061722e-03	3.208761e+00	-3.207699e+00
0.00459      	3.298852e+00	3.287710e-01	5.335779e-03	3.301520e+00	-3.296184e+00
0.00486      	2.486004e+00	2.477310e-01	-2.163886e-03	2.484923e+00	-2.487086e+00
0.00513      	3.176448e+00	3.165278e-01	5.328760e-03	3.179112e+00	-3.173784e+00
0.0054       	3.414731e+00	3.402171e-01	2.783996e-03	3.416123e+00	-3.413339e+00
0.00567      	3.006580e+00	2.995771e-01	-1.360522e-03	3.005899e+00	-3.007260e+00
0.00594      	2.657291e+00	2.647878e-01	1.071086e-03	2.657827e+00	-2.656756e+00
0.00621      	2.852557e+00	2.843483e-01	-3.563616e-03	2.850775e+00	-2.854339e+00
0.00648      	3.221352e+00	3.209628e-01	1.318903e-02	3.227946e+00	-3.214757e+00
0.00675      	3.256426e+00	3.245532e-01	-3.427584e-03	3.254712e+00	-3.258140e+00
0.00702      	2.320567e+00	2.312411e-01	3.543181e-04	2.320744e+00	-2.320390e+00
0.00729      	3.492910e+00	3.480359e-01	4.710520e-03	3.495265e+00	-3.490555e+00
0.00756      	2.452118e+00	2.442624e-01	3.739575e-03	2.453988e+00	-2.450248e+00
0.00783      	2.842950e+00	2.832814e-01	-4.922845e-03	2.840489e+00	-2.845412e+00
0.0081       	2.574595e+00	2.565965e-01	-1.098457e-02	2.569103e+00	-2.580088e+00
0.00837      	2.446194e+00	2.437848e-01	4.239439e-03	2.448314e+00	-2.444074e+00
0.00864      	3.129757e+00	3.118756e-01	2.577203e-03	3.131046e+00	-3.128469e+00
0.00891      	2.562501e+00	2.553069e-01	-5.827666e-03	2.559587e+00	-2.565414e+00
0.00918      	3.164472e+00	3.154278e-01	-4.822936e-03	3.162060e+00	-3.166883e+00
0.00945      	2.647985e+00	2.638676e-01	1.754091e-03	2.648862e+00	-2.647108e+00
0.00972      	2.834408e+00	2.824314e-01	-1.087682e-02	2.828970e+00	-2.839847e+00
0.00999      	2.393732e+00	2.385874e-01	4.055607e-03	2.395760e+00	-2.391704e+00
0.01026      	3.038311e+00	3.026743e-01	4.800929e-03	3.040711e+00	-3.035910e+00
0.01053      	2.738895e+00	2.731006e-01	8.825573e-03	2.743308e+00	-2.734482e+00
0.0108       	2.754309e+00	2.744944e-01	-7.568185e-03	2.750525e+00	-2.758093e+00
0.01107      	2.944766e+00	2.933252e-01	-3.339873e-03	2.943096e+00	-2.946436e+00
0.01134      	2.506776e+00	2.498515e-01	1.060603e-02	2.512079e+00	-2.501473e+00
0.01161      	3.058387e+00	3.047388e-01	-1.130057e-02	3.052737e+00	-3.064037e+00
0.01188      	2.737110e+00	2.726806e-01	1.327474e-03	2.737773e+00	-2.736446e+00
0.01215      	2.927308e+00	2.917808e-01	-9.395884e-05	2.927261e+00	-2.927355e+00
0.01242      	2.770956e+00	2.761387e-01	4.884600e-03	2.773398e+00	-2.768514e+00
0.01269      	3.212913e+00	3.201159e-01	-8.573111e-03	3.208626e+00	-3.217200e+00
0.01296      	2.862156e+00	2.852594e-01	8.996665e-03	2.866655e+00	-2.857658e+00
0.01323      	2.590922e+00	2.581307e-01	-1.540286e-03	2.590152e+00	-2.591692e+00
0.0135       	2.977247e+00	2.967649e-01	-1.384859e-03	2.976554e+00	-2.977939e+00
0.01377      	3.068886e+00	3.056483e-01	2.671396e-03	3.070222e+00	-3.067551e+00
0.01404      	2.775762e+00	2.767407e-01	-7.074567e-03	2.772225e+00	-2.779299e+00
0.01431      	2.197142e+00	2.190357e-01	4.363213e-03	2.199324e+00	-2.194961e+00
0.01458      	2.870492e+00	2.860641e-01	-7.807215e-03	2.866588e+00	-2.874396e+00
0.01485      	2.879284e+00	2.869778e-01	5.540763e-03	2.882054e+00	-2.876514e+00
0.01512      	2.446714e+00	2.437978e-01	-4.210147e-03	2.444608e+00	-2.448819e+00
0.01539      	3.553246e+00	3.540323e-01	1.453965e-02	3.560516e+00	-3.545976e+00
0.01566      	3.229521e+00	3.217741e-01	4.115285e-03	3.231578e+00	-3.227463e+00
0.01593      	2.915876e+00	2.906300e-01	-2.129836e-04	2.915770e+00	-2.915983e+00
0.0162       	2.798640e+00	2.788851e-01	-8.909191e-03	2.794185e+00	-2.803094e+00
0.01647      	2.561509e+00	2.553059e-01	-1.748037e-03	2.560635e+00	-2.562383e+00
0.01674      	2.901402e+00	2.890868e-01	7.942562e-04	2.901799e+00	-2.901005e+00
0.01701      	3.480129e+00	3.468014e-01	1.925319e-04	3.480225e+00	-3.480032e+00
0.01728      	3.307246e+00	3.295852e-01	-9.996782e-03	3.302248e+00	-3.312245e+00
0.01755      	2.865834e+00	2.856121e-01	-3.670374e-03	2.863999e+00	-2.867669e+00
0.01782      	3.214964e+00	3.202962e-01	-1.239750e-02	3.208765e+00	-3.221163e+00
0.01809      	2.352699e+00	2.344745e-01	1.045921e-03	2.353222e+00	-2.352176e+00
0.01836      	3.754780e+00	3.741585e-01	-1.901473e-03	3.753829e+00	-3.755730e+00
0.01863      	1.979359e+00	1.972082e-01	2.011953e-03	1.980365e+00	-1.978353e+00
0.0189       	3.421091e+00	3.408349e-01	2.127834e-02	3.431731e+00	-3.410452e+00
0.01917      	3.620963e+00	3.608681e-01	-9.618817e-03	3.616154e+00	-3.625773e+00
0.01944      	2.624671e+00	2.615293e-01	-1.076966e-03	2.624133e+00	-2.625210e+00
0.01971      	2.846312e+00	2.835788e-01	-4.256694e-03	2.844183e+00	-2.848440e+00
0.01998      	3.806128e+00	3.793344e-01	7.153636e-03	3.809705e+00	-3.802551e+00
0.02025      	2.058090e+00	2.050537e-01	1.757980e-03	2.058969e+00	-2.057211e+00
0.02052      	3.368431e+00	3.356679e-01	-1.734763e-03	3.367563e+00	-3.369298e+00
0.02079      	3.090273e+00	3.078612e-01	-4.097078e-03	3.088225e+00	-3.092322e+00
0.02106      	2.749149e+00	2.739908e-01	-2.172899e-03	2.748063e+00	-2.750235e+00
0.02133      	2.958372e+00	2.948361e-01	1.094824e-02	2.963846e+00	-2.952898e+00
0.0216       	2.998059e+00	2.987869e-01	-2.536256e-03	2.996791e+00	-2.999327e+00
0.02187      	3.282645e+00	3.271944e-01	-8.979777e-03	3.278156e+00	-3.287135e+00
0.02214      	2.931980e+00	2.922119e-01	4.751748e-03	2.934356e+00	-2.929604e+00
0.02241      	3.554148e+00	3.541330e-01	-1.538788e-02	3.546454e+00	-3.561842e+00
0.02268      	3.098064e+00	3.088119e-01	1.539422e-02	3.105761e+00	-3.090366e+00
0.02295      	3.023999e+00	3.012742e-01	1.327366e-02	3.030636e+00	-3.017362e+00
0.02322      	3.054760e+00	3.044505e-01	-6.617366e-03	3.051451e+00	-3.058069e+00
0.02349      	3.097170e+00	3.085268e-01	-6.215495e-05	3.097139e+00	-3.097201e+00
0.02376      	3.851922e+00	3.838973e-01	3.964593e-03	3.853905e+00	-3.849940e+00
0.02403      	2.882739e+00	2.872103e-01	4.409003e-03	2.884944e+00	-2.880535e+00
0.0243       	2.938603e+00	2.928926e-01	-6.303678e-03	2.935451e+00	-2.941755e+00
0.02457      	3.032452e+00	3.022326e-01	1.912791e-03	3.033408e+00	-3.031495e+00
0.02484      	2.914732e+00	2.904444e-01	8.119445e-03	2.918792e+00	-2.910673e+00
0.02511      	3.178171e+00	3.166943e-01	-1.265902e-02	3.171842e+00	-3.184501e+00
0.02538      	2.815590e+00	2.806346e-01	1.198854e-02	2.821585e+00	-2.809596e+00
0.02565      	3.850071e+00	3.836513e-01	-4.211892e-03	3.847965e+00	-3.852177e+00
0.02592      	3.454498e+00	3.442544e-01	1.185775e-02	3.460426e+00	-3.448569e+00
0.02619      	3.068330e+00	3.057755e-01	-1.278578e-03	3.067691e+00	-3.068969e+00
0.02646      	2.887803e+00	2.877559e-01	3.368193e-05	2.887820e+00	-2.887786e+00
0.02673      	3.718766e+00	3.706127e-01	-7.791299e-03	3.714870e+00	-3.722661e+00
0.027        	3.458512e+00	3.447146e-01	-4.175117e-03	3.456425e+00	-3.460600e+00
0.02727      	3.456984e+00	3.444211e-01	5.722551e-03	3.459845e+00	-3.454123e+00
0.02754      	3.372992e+00	3.362039e-01	-3.010440e-03	3.371487e+00	-3.374497e+00
0.02781      	3.634884e+00	3.622150e-01	1.278199e-02	3.641275e+00	-3.628493e+00
0.02808      	3.042382e+00	3.031264e-01	-1.243367e-02	3.036165e+00	-3.048599e+00
0.02835      	3.754595e+00	3.741239e-01	8.018698e-03	3.758604e+00	-3.750585e+00
0.02862      	3.107275e+00	3.096390e-01	-7.541879e-03	3.103504e+00	-3.111046e+00
0.02889      	3.085496e+00	3.075181e-01	-2.393378e-03	3.084300e+00	-3.086693e+00
0.02916      	3.396699e+00	3.384055e-01	-5.953689e-04	3.396401e+00	-3.396997e+00
0.02943      	3.254981e+00	3.243746e-01	1.683217e-02	3.263397e+00	-3.246565e+00
0.0297       	3.310674e+00	3.299530e-01	-1.859820e-03	3.309744e+00	-3.311604e+00
0.02997      	3.605010e+00	3.591391e-01	4.045527e-03	3.607033e+00	-3.602987e+00
0.03024      	3.574653e+00	3.562751e-01	-1.439229e-03	3.573933e+00	-3.575372e+00
0.03051      	3.217769e+00	3.206144e-01	3.258665e-03	3.219399e+00	-3.216140e+00
0.03078      	3.221378e+00	3.209690e-01	-7.343094e-03	3.217707e+00	-3.225050e+00
0.03105      	3.236796e+00	3.224921e-01	3.549358e-03	3.238570e+00	-3.235021e+00
0.03132      	3.413327e+00	3.400619e-01	-9.070884e-03	3.408792e+00	-3.417863e+00
0.03159      	2.466071e+00	2.457965e-01	-1.368490e-03	2.465387e+00	-2.466756e+00
0.03186      	3.804424e+00	3.792553e-01	5.760220e-03	3.807304e+00	-3.801544e+00
0.03213      	3.653663e+00	3.641650e-01	3.561302e-03	3.655443e+00	-3.651882e+00
0.0324       	3.322137e+00	3.310277e-01	-1.849434e-02	3.312890e+00	-3.331384e+00
0.03267      	3.563837e+00	3.551317e-01	1.231167e-02	3.569993e+00	-3.557681e+00
0.03294      	3.546944e+00	3.533997e-01	-9.168245e-03	3.542360e+00	-3.551529e+00
0.03321      	3.354107e+00	3.343051e-01	5.874741e-03	3.357044e+00	-3.351170e+00
0.03348      	3.672408e+00	3.659744e-01	-8.464800e-03	3.668176e+00	-3.676641e+00
0.03375      	3.187792e+00	3.176446e-01	5.418421e-04	3.188063e+00	-3.187521e+00
0.03402      	3.555308e+00	3.543203e-01	6.608641e-03	3.558612e+00	-3.552004e+00
0.03429      	3.231034e+00	3.218996e-01	-1.776633e-03	3.230146e+00	-3.231923e+00
0.03456      	3.291580e+00	3.280488e-01	1.013209e-02	3.296646e+00	-3.286514e+00
0.03483      	3.969167e+00	3.955339e-01	-3.047705e-03	3.967643e+00	-3.970690e+00
0.0351       	3.224387e+00	3.212313e-01	-7.384557e-03	3.220694e+00	-3.228079e+00
0.03537      	3.019882e+00	3.009782e-01	1.919970e-03	3.020842e+00	-3.018922e+00
0.03564      	3.469127e+00	3.457899e-01	-9.123227e-03	3.464566e+00	-3.473689e+00
0.03591      	3.675146e+00	3.661821e-01	9.960168e-03	3.680126e+00	-3.670166e+00
0.03618      	3.330622e+00	3.319541e-01	-6.688822e-03	3.327277e+00	-3.333966e+00
0.03645      	3.594793e+00	3.581635e-01	-1.075748e-03	3.594255e+00	-3.595331e+00
0.03672      	3.478124e+00	3.466207e-01	-4.557666e-03	3.475845e+00	-3.480403e+00
0.03699      	3.314641e+00	3.303488e-01	1.945435e-03	3.315614e+00	-3.313669e+00
0.03726      	3.152771e+00	3.141926e-01	3.179196e-03	3.154361e+00	-3.151182e+00
0.03753      	3.825293e+00	3.812378e-01	-2.790325e-04	3.825153e+00	-3.825432e+00
0.0378       	3.275856e+00	3.263987e-01	6.561427e-03	3.279136e+00	-3.272575e+00
0.03807      	3.983875e+00	3.970010e-01	-7.486180e-05	3.983838e+00	-3.983913e+00
0.03834      	3.020837e+00	3.010303e-01	-7.301375e-04	3.020472e+00	-3.021203e+00
0.03861      	3.608746e+00	3.595657e-01	4.630142e-03	3.611061e+00	-3.606431e+00
0.03888      	3.886544e+00	3.872863e-01	-6.031035e-04	3.886243e+00	-3.886846e+00
0.03915      	3.432157e+00	3.419661e-01	-2.386262e-03	3.430964e+00	-3.433351e+00
0.03942      	3.030497e+00	3.019736e-01	-1.030591e-02	3.025344e+00	-3.035650e+00
0.03969      	3.852560e+00	3.839877e-01	1.260626e-02	3.858863e+00	-3.846257e+00
0.03996      	3.598225e+00	3.584334e-01	-1.523664e-03	3.597463e+00	-3.598987e+00
0.04023      	3.389485e+00	3.378031e-01	-1.223918e-02	3.383365e+00	-3.395605e+00
0.0405       	3.723436e+00	3.711315e-01	2.057194e-03	3.724464e+00	-3.722407e+00
0.04077      	3.858511e+00	3.845375e-01	-7.145392e-03	3.854939e+00	-3.862084e+00
0.04104      	3.922153e+00	3.908351e-01	6.422804e-03	3.925364e+00	-3.918942e+00
0.04131      	3.871217e+00	3.857480e-01	-7.489322e-04	3.870843e+00	-3.871592e+00
0.04158      	3.535224e+00	3.523427e-01	-7.366264e-03	3.531541e+00	-3.538907e+00
0.04185      	3.378305e+00	3.366735e-01	7.963651e-04	3.378703e+00	-3.377906e+00
0.04212      	3.093404e+00	3.081787e-01	-4.998019e-03	3.090905e+00	-3.095903e+00
0.04239      	3.886632e+00	3.873208e-01	7.801332e-03	3.890533e+00	-3.882731e+00
0.04266      	3.823292e+00	3.810037e-01	-4.558978e-03	3.821012e+00	-3.825571e+00
0.04293      	3.334568e+00	3.323229e-01	5.389816e-03	3.337263e+00	-3.331873e+00
0.0432       	3.933722e+00	3.921044e-01	-1.839412e-03	3.932803e+00	-3.934642e+00
0.04347      	4.353781e+00	4.338056e-01	6.595477e-03	4.357079e+00	-4.350483e+00
0.04374      	3.489876e+00	3.477272e-01	-8.351230e-03	3.485701e+00	-3.494052e+00
0.04401      	3.478287e+00	3.465541e-01	1.158105e-02	3.484077e+00	-3.472496e+00
0.04428      	3.339218e+00	3.327256e-01	-1.248009e-02	3.332978e+00	-3.345458e+00
0.04455      	4.078341e+00	4.065013e-01	8.063682e-03	4.082373e+00	-4.074309e+00
0.04482      	3.828222e+00	3.815008e-01	-6.464351e-03	3.824990e+00	-3.831455e+00
0.04509      	4.010204e+00	3.996901e-01	-7.798605e-04	4.009814e+00	-4.010594e+00
0.04536      	3.907262e+00	3.893123e-01	5.372233e-03	3.909948e+00	-3.904576e+00
0.04563      	3.250155e+00	3.238786e-01	-9.719397e-03	3.245295e+00	-3.255015e+00
0.0459       	3.553092e+00	3.540863e-01	6.318871e-03	3.556251e+00	-3.549933e+00
0.04617      	3.719838e+00	3.707139e-01	-9.560696e-04	3.719360e+00	-3.720317e+00
0.04644      	3.643313e+00	3.630649e-01	1.109936e-02	3.648862e+00	-3.637763e+00
0.04671      	4.066025e+00	4.051500e-01	-1.715588e-02	4.057447e+00	-4.074603e+00
0.04698      	3.083787e+00	3.072515e-01	1.838965e-03	3.084707e+00	-3.082868e+00
0.04725      	4.025392e+00	4.011408e-01	-2.656583e-03	4.024064e+00	-4.026720e+00
0.04752      	3.587717e+00	3.575257e-01	9.328746e-03	3.592381e+00	-3.583052e+00
0.04779      	3.283088e+00	3.271899e-01	-7.145486e-03	3.279515e+00	-3.286661e+00
0.04806      	3.824007e+00	3.811174e-01	7.826114e-03	3.827920e+00	-3.820094e+00
